name,country,max,min,mean,median,twentyfive,seventyfive
Bayern Munich,Germany,1.34,1.22,1.2836363636363639,1.29,1.25,1.3
Bor Dortmund,Germany,4.5,3.5,4.0745454545454542,4.0,3.9099999999999997,4.3300000000000001
Bayer Leverkusen,Germany,46.0,26.0,31.818181818181817,30.0,26.0,34.0
Schalke 04,Germany,91.0,41.0,67.727272727272734,67.0,63.25,75.0
VfL Wolfsburg,Germany,176.0,67.0,113.54545454545455,101.0,97.25,145.75
Werder Bremen,Germany,475.0,126.0,259.04545454545456,226.0,201.0,300.75
Bor Monchengladbach,Germany,485.0,101.0,212.68181818181819,151.0,151.0,238.5
Hamburg,Germany,760.0,151.0,303.63636363636363,251.0,201.0,301.0
VfB Stuttgart,Germany,501.0,151.0,273.36363636363637,251.0,151.0,335.5
Hannover 96,Germany,801.0,101.0,279.18181818181819,251.0,151.0,301.0
Mainz 05,Germany,801.0,101.0,363.09090909090907,301.0,251.0,501.0
Eintracht Frankfurt,Germany,801.0,201.0,486.36363636363637,501.0,401.0,501.0
Hoffenheim,Germany,801.0,151.0,428.63636363636363,351.0,263.25,530.25
Freiburg,Germany,950.0,251.0,548.22727272727275,501.0,500.25,582.75
Hertha Berlin,Germany,1251.0,151.0,444.90909090909093,373.0,251.0,501.0
Nurnberg,Germany,2501.0,251.0,964.5454545454545,819.5,751.0,1001.0
Augsburg,Germany,3001.0,501.0,1453.1818181818182,1376.0,1000.0,2001.0
Braunschweig,Germany,6001.0,501.0,2885.0,2750.5,1626.0,4501.0
Barcelona,Spain,1.78,1.57,1.6657142857142859,1.6699999999999999,1.6200000000000001,1.6799999999999999
Real Madrid,Spain,2.38,2.04,2.2271428571428573,2.25,2.2000000000000002,2.25
Atletico Madrid,Spain,67.0,1.36,47.925454545454549,51.0,40.0,51.0
Valencia,Spain,485.0,9.0,206.09090909090909,201.0,132.25,251.0
Real Sociedad,Spain,501.0,12.0,287.22727272727275,301.0,213.5,400.0
Athl Bilbao,Spain,751.0,15.0,478.13636363636363,501.0,401.0,501.0
Sevilla,Spain,1251.0,26.0,527.33333333333337,432.0,301.0,751.0
Betis,Spain,1501.0,34.0,731.5,601.0,501.0,938.5
Espanyol,Spain,2001.0,41.0,1131.9473684210527,1001.0,919.0,1500.5
Malaga,Spain,3000.0,51.0,911.66666666666663,703.0,495.0,751.0
Celta Vigo,Spain,3001.0,81.0,1640.578947368421,2001.0,1501.0,2001.0
Villarreal,Spain,3001.0,34.0,1134.5555555555557,1001.0,563.25,1376.0
Getafe,Spain,3500.0,67.0,1712.2631578947369,2001.0,1126.0,2001.0
Valladolid,Spain,3501.0,201.0,2271.9473684210525,2501.0,2001.0,3000.0
Levante,Spain,4000.0,126.0,2189.0526315789475,2501.0,1751.0,2501.0
Granada,Spain,5001.0,101.0,2819.3157894736842,3001.0,1751.0,4001.0
Osasuna,Spain,7501.0,251.0,3169.3157894736842,3001.0,2251.0,5000.0
Rayo Vallecano,Spain,7501.0,151.0,2269.3157894736842,1501.0,1001.0,2501.0
Almeria,Spain,9001.0,401.0,5147.75,5001.0,3987.5,7501.0
Elche,Spain,9001.0,501.0,5261.4210526315792,5001.0,5000.0,7501.0
Man City,England,3.1,2.75,2.9286956521739138,2.8999999999999999,2.8799999999999999,3.0
Chelsea,England,3.38,2.88,3.0491304347826089,3.0,3.0,3.0499999999999998
Man Utd,England,5.0,4.33,4.8430434782608689,5.0,4.625,5.0
Liverpool,England,13.0,10.0,12.043478260869565,12.0,11.0,13.0
Arsenal,England,15.0,12.0,13.360869565217389,13.0,13.0,14.0
Tottenham,England,23.0,19.5,21.239130434782609,21.0,21.0,21.0
Everton,England,1001.0,251.0,542.43478260869563,501.0,401.0,675.5
Aston Villa,England,2001.0,660.0,1546.8695652173913,1501.0,1001.0,2001.0
Southampton,England,2001.0,630.0,1609.1304347826087,1501.0,1500.0,2001.0
Swansea,England,2501.0,660.0,1655.5652173913043,1501.0,1250.5,2001.0
Fulham,England,3001.0,660.0,2199.0434782608695,2001.0,2001.0,3000.0
Newcastle,England,3001.0,660.0,1590.3478260869565,1501.0,1001.0,2001.0
West Ham,England,3001.0,660.0,2046.8695652173913,2001.0,2001.0,2500.5
West Brom,England,4001.0,660.0,2220.782608695652,2001.0,2001.0,3000.5
Norwich,England,5001.0,660.0,3548.9545454545455,4001.0,2501.0,5001.0
Stoke,England,5001.0,660.0,2776.2272727272725,3000.0,2126.0,3001.0
Sunderland,England,5001.0,660.0,3048.9545454545455,3001.0,2126.0,4750.25
Cardiff,England,7501.0,660.0,4412.590909090909,5001.0,3875.75,5001.0
Hull,England,7501.0,660.0,5685.318181818182,6250.5,5001.0,7501.0
Crystal Palace,England,15001.0,660.0,7617.045454545455,7501.0,5625.75,10001.0
PSG,France,1.53,1.4,1.4509090909090909,1.4399999999999999,1.4325000000000001,1.4950000000000001
Monaco,France,3.5,3.0,3.2431818181818177,3.25,3.0,3.4525000000000001
Marseille,France,21.0,15.0,16.440909090909091,16.5,15.0,17.075000000000003
Lyon,France,71.0,26.0,40.090909090909093,37.0,34.0,41.0
Lille,France,67.0,34.0,45.18181818181818,41.0,41.0,51.0
St Etienne,France,101.0,51.0,73.772727272727266,67.0,67.0,80.75
Rennes,France,251.0,64.0,183.13636363636363,201.0,151.0,250.0
Bordeaux,France,251.0,134.0,210.77272727272728,201.0,201.0,251.0
Nice,France,301.0,39.0,208.72727272727272,201.0,163.5,300.0
Toulouse,France,501.0,64.0,384.66666666666669,401.0,401.0,501.0
Lorient,France,501.0,72.0,328.85714285714283,301.0,301.0,500.0
Montpellier,France,501.0,106.0,294.68181818181819,251.0,251.0,338.5
Bastia,France,1001.0,64.0,658.85000000000002,751.0,501.0,1000.0
Reims,France,1001.0,64.0,678.85000000000002,751.0,576.0,1001.0
Sochaux,France,1001.0,64.0,753.85000000000002,801.0,751.0,1001.0
Valenciennes,France,1001.0,64.0,666.35000000000002,751.0,501.0,1000.25
Ajaccio,France,1501.0,64.0,891.35000000000002,1000.5,751.0,1001.0
Evian,France,1501.0,64.0,886.35000000000002,1001.0,751.0,1001.0
Guingamp,France,2001.0,64.0,1148.8499999999999,1126.0,1001.0,1501.0
Nantes,France,2001.0,64.0,1130.3157894736842,1251.0,751.0,1501.0
Juventus,Italy,1.67,1.56,1.6200000000000008,1.6200000000000001,1.6000000000000001,1.6274999999999999
Napoli,Italy,6.5,5.0,5.8134782608695659,6.0,5.5,6.0
AC Milan,Italy,10.0,6.5,7.8691304347826074,8.0,7.0,8.4949999999999992
Fiorentina,Italy,15.7,10.0,13.347826086956522,13.0,12.5,14.9
Inter,Italy,16.0,9.2,12.369565217391305,12.0,11.0,13.65
Roma,Italy,26.0,13.0,18.565217391304348,17.0,15.0,21.5
Lazio,Italy,124.0,34.0,76.173913043478265,67.0,51.0,101.0
Udinese,Italy,251.0,100.0,137.47826086956522,101.0,101.0,162.0
Catania,Italy,950.0,500.0,598.39999999999998,501.0,501.0,751.0
Parma,Italy,950.0,201.0,545.89999999999998,501.0,476.0,648.75
Cagliari,Italy,1001.0,120.0,621.64999999999998,750.5,501.0,751.0
Atalanta,Italy,1001.0,501.0,723.39999999999998,751.0,501.0,785.25
Bologna,Italy,1001.0,501.0,873.39999999999998,975.0,751.0,1001.0
Genoa,Italy,1001.0,501.0,748.39999999999998,751.0,586.5,903.5
Sampdoria,Italy,1001.0,501.0,673.39999999999998,750.0,501.0,751.0
Torino,Italy,1001.0,401.0,750.89999999999998,751.0,716.25,903.5
