name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,1.3,1.29,1.29,1.29,1.29,1.25,1.22,1.3,1.22,1.33,1.25,,1.29,,1.25,1.3,1.33,1.3,1.33,1.25,1.32,1.34,1.31,
Bor Dortmund,Germany,4.0,4.33,4.0,4.0,4.0,4.5,4.5,3.75,4.5,3.75,4.33,,4.0,,4.5,3.5,3.75,4.0,4.5,4.0,3.9,4.14,3.94,
Bayer Leverkusen,Germany,41.0,29.0,26.0,26.0,26.0,29.0,26.0,26.0,34.0,30.0,26.0,,26.0,,34.0,29.0,30.0,31.0,46.0,34.0,34.0,46.0,36.0,
Schalke 04,Germany,81.0,67.0,67.0,67.0,67.0,67.0,81.0,61.0,67.0,75.0,81.0,,67.0,,51.0,41.0,75.0,81.0,91.0,67.0,50.0,62.0,55.0,
VfL Wolfsburg,Germany,101.0,101.0,81.0,101.0,81.0,101.0,81.0,81.0,101.0,150.0,101.0,,101.0,,151.0,67.0,150.0,151.0,176.0,126.0,96.0,133.0,114.0,
Werder Bremen,Germany,301.0,201.0,201.0,126.0,201.0,251.0,201.0,201.0,251.0,300.0,351.0,,201.0,,201.0,151.0,300.0,251.0,351.0,201.0,340.0,475.0,442.0,
Bor Monchengladbach,Germany,301.0,151.0,151.0,151.0,151.0,201.0,151.0,151.0,251.0,150.0,151.0,,151.0,,151.0,101.0,150.0,201.0,351.0,151.0,340.0,485.0,437.0,
Hamburg,Germany,301.0,151.0,251.0,301.0,251.0,201.0,201.0,201.0,251.0,200.0,351.0,,201.0,,301.0,151.0,200.0,301.0,351.0,251.0,540.0,760.0,713.0,
VfB Stuttgart,Germany,201.0,151.0,151.0,201.0,151.0,151.0,151.0,301.0,301.0,500.0,251.0,,251.0,,301.0,151.0,500.0,401.0,501.0,251.0,270.0,380.0,347.0,
Hannover 96,Germany,301.0,151.0,151.0,251.0,151.0,251.0,251.0,301.0,301.0,150.0,201.0,,251.0,,751.0,101.0,150.0,301.0,801.0,151.0,250.0,352.0,323.0,
Mainz 05,Germany,501.0,301.0,251.0,251.0,251.0,251.0,301.0,301.0,501.0,200.0,201.0,,501.0,,751.0,101.0,200.0,501.0,801.0,301.0,275.0,390.0,356.0,
Eintracht Frankfurt,Germany,501.0,501.0,301.0,401.0,301.0,501.0,501.0,301.0,401.0,500.0,251.0,,501.0,,751.0,201.0,500.0,501.0,801.0,501.0,525.0,760.0,698.0,
Hoffenheim,Germany,751.0,401.0,251.0,351.0,251.0,351.0,251.0,301.0,501.0,300.0,251.0,,251.0,,751.0,151.0,300.0,401.0,801.0,301.0,540.0,760.0,713.0,
Freiburg,Germany,501.0,501.0,401.0,501.0,401.0,501.0,501.0,301.0,501.0,500.0,501.0,,501.0,,751.0,251.0,500.0,701.0,801.0,501.0,610.0,950.0,884.0,
Hertha Berlin,Germany,501.0,501.0,251.0,351.0,251.0,401.0,251.0,301.0,1001.0,200.0,251.0,,501.0,,1001.0,151.0,200.0,501.0,1251.0,401.0,275.0,390.0,356.0,
Nurnberg,Germany,2001.0,751.0,751.0,501.0,751.0,501.0,1001.0,501.0,751.0,1000.0,1001.0,,751.0,,1501.0,251.0,1000.0,1501.0,2501.0,1001.0,615.0,950.0,888.0,
Augsburg,Germany,2001.0,2001.0,1251.0,1501.0,1251.0,1001.0,2501.0,501.0,1501.0,1000.0,2001.0,,1001.0,,2501.0,501.0,1000.0,2001.0,3001.0,1501.0,615.0,950.0,888.0,
Braunschweig,Germany,3001.0,3001.0,5001.0,1501.0,5001.0,1501.0,5001.0,501.0,2001.0,3000.0,2501.0,,2501.0,,5001.0,2001.0,3000.0,3001.0,6001.0,5001.0,615.0,950.0,888.0,
Barcelona,Spain,1.73,1.67,1.62,1.67,1.62,,1.57,1.67,1.62,1.67,1.62,1.73,1.67,,1.62,1.65,1.67,1.68,1.73,1.65,,1.74,1.7,
