name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Salzburg,c,1.04,1.04,,,,1.04,,1.07,1.04,1.03,1.04,,,,,1.03,,1.03,1.05,,,,
Esbjerg fB,c,13.0,10.0,,,,10.0,,7.0,13.0,10.0,11.0,,,,,9.0,,10.0,11.0,,,,
Fiorentina,e,1.25,1.25,,,,1.25,,1.2,1.25,1.25,1.26,,,,,1.22,,1.25,1.25,,,,
Dnipro,e,3.75,3.75,,,,3.75,,4.0,3.75,3.5,3.6,,,,,3.8,,3.5,3.75,,,,
Sevilla,h,1.29,1.29,,,,1.28,,1.29,1.29,1.29,1.29,,,,,1.25,,1.29,1.29,,,,
Slovan Liberec,h,,,,,,,,,3.5,,,,,,,,,,,,,,
Freiburg,h,3.5,3.5,,,,3.4,,3.4,,3.5,3.4,,,,,3.6,,3.5,3.5,,,,
Lyon,i,1.67,1.67,,,,1.67,,1.83,1.67,1.65,1.73,,,,,1.7,,1.65,1.73,,,,
Betis,i,2.1,2.1,,,,2.0,,1.83,2.1,2.1,2.0,,,,,2.05,,2.1,2.0,,,,
Lazio,j,1.73,1.67,,,,1.55,,1.53,1.67,1.57,1.7,,,,,1.6,,1.57,1.57,,,,
Trabzonspor,j,2.0,2.1,,,,2.3,,2.38,2.1,2.25,2.1,,,,,2.2,,2.25,2.25,,,,
PAOK Saloniki,l,1.4,1.4,,,,1.4,,1.4,1.4,1.3,1.4,,,,,1.4,,1.3,1.4,,,,
AZ Alkmaar,l,2.75,2.75,,,,2.7,,2.75,2.75,3.25,2.7,,,,,2.75,,3.25,2.75,,,,
